scenario,method,repeat,depth,edge_count,D_p,D_minus,D_plus,cumulative_instability,T_obs,selected_absolute,selected_relative,selected_bootstrap_band,accuracy,precision,recall,fpr,balanced_accuracy,f1,tp,fp,tn,fn
order3_unconfounded,fast_gcstar_cgc,2,6,8,0.0,0.0,0.0,0.0,0.0,2,2,,0.7222222222222222,0.125,0.05263157894736842,0.09859154929577464,0.4770200148257969,0.07407407407407407,1.0,7.0,64.0,18.0
order3_unconfounded,fast_gcstar_cgc,2,7,8,0.0,0.0,0.0,0.0,0.0,2,2,,0.7222222222222222,0.125,0.05263157894736842,0.09859154929577464,0.4770200148257969,0.07407407407407407,1.0,7.0,64.0,18.0
order3_unconfounded,fast_gcstar_cgc,3,1,17,,,,0.0,0.06666666666666667,2,3,,0.5555555555555556,0.0,0.0,0.2537313432835821,0.373134328358209,0.0,0.0,17.0,50.0,23.0
order3_unconfounded,fast_gcstar_cgc,3,2,11,0.06666666666666667,0.06666666666666667,0.0,0.06666666666666667,0.06666666666666667,2,3,,0.6222222222222222,0.0,0.0,0.16417910447761194,0.417910447761194,0.0,0.0,11.0,56.0,23.0
order3_unconfounded,fast_gcstar_cgc,3,3,11,0.0,0.0,0.0,0.06666666666666667,0.06666666666666667,2,3,,0.6222222222222222,0.0,0.0,0.16417910447761194,0.417910447761194,0.0,0.0,11.0,56.0,23.0
order3_unconfounded,fast_gcstar_cgc,3,4,11,0.0,0.0,0.0,0.06666666666666667,0.06666666666666667,2,3,,0.6222222222222222,0.0,0.0,0.16417910447761194,0.417910447761194,0.0,0.0,11.0,56.0,23.0
order3_unconfounded,fast_gcstar_cgc,3,5,11,0.0,0.0,0.0,0.06666666666666667,0.06666666666666667,2,3,,0.6222222222222222,0.0,0.0,0.16417910447761194,0.417910447761194,0.0,0.0,11.0,56.0,23.0
order3_unconfounded,fast_gcstar_cgc,3,6,11,0.0,0.0,0.0,0.06666666666666667,0.06666666666666667,2,3,,0.6222222222222222,0.0,0.0,0.16417910447761194,0.417910447761194,0.0,0.0,11.0,56.0,23.0
order3_unconfounded,fast_gcstar_cgc,3,7,11,0.0,0.0,0.0,0.06666666666666667,0.06666666666666667,2,3,,0.6222222222222222,0.0,0.0,0.16417910447761194,0.417910447761194,0.0,0.0,11.0,56.0,23.0
order3_unconfounded,fast_gcstar_cgc,4,1,90,,,,0.0,0.0,2,2,,0.25555555555555554,0.25555555555555554,1.0,1.0,0.5,0.4070796460176991,23.0,67.0,0.0,0.0
order3_unconfounded,fast_gcstar_cgc,4,2,90,0.0,0.0,0.0,0.0,0.0,2,2,,0.25555555555555554,0.25555555555555554,1.0,1.0,0.5,0.4070796460176991,23.0,67.0,0.0,0.0
order3_unconfounded,fast_gcstar_cgc,4,3,90,0.0,0.0,0.0,0.0,0.0,2,2,,0.25555555555555554,0.25555555555555554,1.0,1.0,0.5,0.4070796460176991,23.0,67.0,0.0,0.0
order3_unconfounded,fast_gcstar_cgc,4,4,90,0.0,0.0,0.0,0.0,0.0,2,2,,0.25555555555555554,0.25555555555555554,1.0,1.0,0.5,0.4070796460176991,23.0,67.0,0.0,0.0
order3_unconfounded,fast_gcstar_cgc,4,5,90,0.0,0.0,0.0,0.0,0.0,2,2,,0.25555555555555554,0.25555555555555554,1.0,1.0,0.5,0.4070796460176991,23.0,67.0,0.0,0.0
order3_unconfounded,fast_gcstar_cgc,4,6,90,0.0,0.0,0.0,0.0,0.0,2,2,,0.25555555555555554,0.25555555555555554,1.0,1.0,0.5,0.4070796460176991,23.0,67.0,0.0,0.0
order3_unconfounded,fast_gcstar_cgc,4,7,90,0.0,0.0,0.0,0.0,0.0,2,2,,0.25555555555555554,0.25555555555555554,1.0,1.0,0.5,0.4070796460176991,23.0,67.0,0.0,0.0
order3_unconfounded,fast_gcstar_cgc,5,1,16,,,,0.0,0.05555555555555555,2,3,,0.6222222222222222,0.1875,0.125,0.19696969696969696,0.4640151515151515,0.15,3.0,13.0,53.0,21.0
order3_unconfounded,fast_gcstar_cgc,5,2,11,0.05555555555555555,0.05555555555555555,0.0,0.05555555555555555,0.05555555555555555,2,3,,0.6777777777777778,0.2727272727272727,0.125,0.12121212121212122,0.5018939393939394,0.17142857142857143,3.0,8.0,58.0,21.0
order3_unconfounded,fast_gcstar_cgc,5,3,11,0.0,0.0,0.0,0.05555555555555555,0.05555555555555555,2,3,,0.6777777777777778,0.2727272727272727,0.125,0.12121212121212122,0.5018939393939394,0.17142857142857143,3.0,8.0,58.0,21.0
order3_unconfounded,fast_gcstar_cgc,5,4,11,0.0,0.0,0.0,0.05555555555555555,0.05555555555555555,2,3,,0.6777777777777778,0.2727272727272727,0.125,0.12121212121212122,0.5018939393939394,0.17142857142857143,3.0,8.0,58.0,21.0
